slug,min_precip,max_precip
artemisia-cana,200,1100
artemisia-cana-subsp-bolanderi,200,1100
artemisia-cana-subsp-viscidula,200,1100
artemisia-frigida,200,1100
artemisia-furcata,300,800
artemisia-ludoviciana,200,1100
artemisia-ludoviciana-subsp-albula,200,1100
artemisia-ludoviciana-subsp-candicans,200,1100
artemisia-ludoviciana-subsp-estesii,200,1100
artemisia-ludoviciana-subsp-incompta,200,1100
artemisia-ludoviciana-subsp-lindleyana,200,1100
artemisia-ludoviciana-subsp-mexicana,200,1100
artemisia-ludoviciana-subsp-redolens,200,1100
artemisia-norvegica-subsp-saxatilis,200,1600
artemisia-nova,100,600
artemisia-rigida,200,1600
artemisia-rothrockii,100,500
artemisia-spiciformis,100,500
artemisia-tilesii,200,900
artemisia-tridentata,100,500
artemisia-tridentata-subsp-parishii,100,500
artemisia-tridentata-subsp-vaseyana,100,500
artemisia-tridentata-subsp-wyomingensis,100,500
artemisia-tridentata-subsp-xbonnevillensis,100,500
artemisia-tripartita,100,900
artemisia-tripartita-subsp-rupicola,100,900
artocarpus-altilis,1500,2600
arundinaria-gigantea,600,2600
arundinaria-tecta,1100,1600
arundo-donax,800,1700
asclepias-incarnata,300,1700
asclepias-incarnata-subsp-pulchra,300,1700
asclepias-speciosa,400,800
asclepias-tuberosa,700,1200
asclepias-tuberosa-subsp-rolfsii,700,1200
asimina-triloba,900,2100
asperula-tinctoria,800,1400
aster-alpinus-subsp-alpinus,400,1000
aster-alpinus-var-vierhapperi,400,1000
astragalus-canadensis,500,1300
astragalus-curvicarpus,200,1600
astragalus-lentiginosus,200,500
astragalus-mollissimus-var-mollissimus,300,800
astragalus-purshii-var-concinnus,200,600
astragalus-purshii-var-glareosus,200,600
astragalus-purshii-var-lagopinus,200,600
astragalus-purshii-var-lectulus,200,600
astragalus-purshii-var-ophiogenes,200,600
astragalus-purshii-var-pumilio,200,600
astragalus-purshii-var-purshii,200,600
astragalus-purshii-var-tinctus,200,600
athyrium-filix-femina-568f3749-10f9-4e31-a0fe-fb7129b201f2,700,1600
athyrium-filix-femina-ssp-angustum,700,1600
athyrium-filix-femina-ssp-asplenioides,700,1600
athyrium-filix-femina-ssp-cyclosorum,700,1600
atrichum-altecristatum,300,1400
atriplex-bonnevillensis,100,400
atriplex-canescens,100,500
atriplex-confertifolia,100,400
atriplex-cuneata,100,400
atriplex-falcata,100,400
atriplex-gardneri,100,400
atriplex-lentiformis,100,600
