distribution_slug,name,tdwg_code,level,parent_slug,parent_name,lat,lng,species_count
xms,Christmas I.,XMS,3,42,Malesia,-10,105,379
ags-cb,Chubut,AGS-CB,4,ags,Argentina South,-43,-68,0
cpi-cl,Clipperton I.,CPI-CL,4,cpi,Central American Pac,10,-109,0
mxe-co,Coahuila,MXE-CO,4,mxe,Mexico Northeast,27,-102,0
and-co,Coco Is.,AND-CO,4,and,Andaman Is.,6,122,0
cpi-co,Cocos I.,CPI-CO,4,cpi,Central American Pac,5,-87,0
cki,Cocos (Keeling) Is.,CKI,3,42,Malesia,-12,96,127
mxs-cl,Colima,MXS-CL,4,mxs,Mexico Southwest,19,-104,0
clm,Colombia,CLM,3,83,Western South America,2,-73,23796
swc-cc,Colombian Caribbean Is.,SWC-CC,4,swc,Southwest Caribbean,65,-18,0
col,Colorado,COL,3,73,Northwestern U.S.A.,38,-105,3384
com,Comoros,COM,3,29,Western Indian Ocean,-12,44,877
con,Congo,CON,3,23,West-Central Tropical Africa,0,15,3972
cnt,Connecticut,CNT,3,75,Northeastern U.S.A.,41,-72,2163
coo,Cook Is.,COO,3,61,South-Central Pacific,-59,-27,650
clc-co,Coquimbo,CLC-CO,4,clc,Chile Central,-30,-70,0
qld-cs,Coral Sea Is. Territory,QLD-CS,4,qld,Queensland,0,0,0
age-cd,Cordoba,AGE-CD,4,age,Argentina Northeast,-31,-64,0
age-cn,Corrientes,AGE-CN,4,age,Argentina Northeast,-28,-57,0
cor,Corse,COR,3,12,Southwestern Europe,42,9,2266
cos,Costa Rica,COS,3,80,Central America,10,-84,10027
yug-cr,Croatia,YUG-CR,4,yug,Yugoslavia,45,17,0
crz,Crozet Is.,CRZ,3,90,Subantarctic Islands,46,6,69
cub,Cuba,CUB,3,81,Caribbean,23,-80,6694
nla-cu,Curaçao,NLA-CU,4,nla,Netherlands Antilles,0,0,0
cyp,Cyprus,CYP,3,34,Western Asia,34,33,1755
cze,Czechoslovakia,CZE,3,11,Middle Europe,41,-98,4351
cze-cz,Czech Republic,CZE-CZ,4,cze,Czechoslovakia,49,15,0
ind-dd,Dadra-Nagar-Haveli,IND-DD,4,ind,India,20,73,0
ncs-da,Dagestan,NCS-DA,4,ncs,North Caucasus,43,47,0
ind-dm,Daman,IND-DM,4,ind,India,20,72,0
ehm-dj,Darjiling,EHM-DJ,4,ehm,East Himalaya,26,88,0
del,Delaware,DEL,3,78,Southeastern U.S.A.,38,-75,1761
ind-de,Delhi,IND-DE,4,ind,India,28,77,0
den,Denmark,DEN,3,10,Northern Europe,55,10,2017
